,Player Name,Player Age,Value,Team,Nationality,Position
358,Vitaliy Mykolenko,23,€22.00m, Everton FC ,Ukraine,Left-Back
359,Rúben Vinagre,24,€5.00m, Everton FC ,Portugal,Left-Back
360,Nathan Patterson,21,€14.00m, Everton FC ,Scotland,Right-Back
361,Seamus Coleman,34,€1.20m, Everton FC ,Ireland,Right-Back
362,Amadou Onana,21,€42.00m, Everton FC ,Belgium,Defensive Midfield
363,James Garner,22,€14.00m, Everton FC ,England,Defensive Midfield
364,Abdoulaye Doucouré,30,€12.00m, Everton FC ,Mali,Central Midfield
365,Tom Davies,24,€12.00m, Everton FC ,England,Central Midfield
366,Idrissa Gueye,33,€8.00m, Everton FC ,Senegal,Central Midfield
367,Alex Iwobi,26,€25.00m, Everton FC ,Nigeria,Attacking Midfield
368,Demarai Gray,26,€20.00m, Everton FC ,England,Left Winger
369,Dwight McNeil,23,€18.00m, Everton FC ,England,Left Winger
370,Andros Townsend,31,€2.50m, Everton FC ,England,Right Winger
371,Dominic Calvert-Lewin,26,€25.00m, Everton FC ,England,Centre-Forward
372,Neal Maupay,26,€13.00m, Everton FC ,France,Centre-Forward
373,Ellis Simms,22,€4.00m, Everton FC ,England,Centre-Forward
374,Dean Henderson,26,€22.00m, Nottingham Forest ,England,Goalkeeper
375,Keylor Navas,36,€5.00m, Nottingham Forest ,Costa Rica,Goalkeeper
376,Wayne Hennessey,36,€500k, Nottingham Forest ,Wales,Goalkeeper
377,Moussa Niakhaté,27,€18.00m, Nottingham Forest ,Senegal,Centre-Back
378,Scott McKenna,26,€10.00m, Nottingham Forest ,Scotland,Centre-Back
379,Joe Worrall,26,€8.00m, Nottingham Forest ,England,Centre-Back
380,Willy Boly,32,€4.00m, Nottingham Forest ,Cote d'Ivoire,Centre-Back
381,Steve Cook,31,€3.00m, Nottingham Forest ,England,Centre-Back
382,Felipe,33,€3.00m, Nottingham Forest ,Brazil,Centre-Back
383,Renan Lodi,25,€20.00m, Nottingham Forest ,Brazil,Left-Back
384,Omar Richards,25,€7.00m, Nottingham Forest ,England,Left-Back
385,Harry Toffolo,27,€3.50m, Nottingham Forest ,England,Left-Back
386,Neco Williams,22,€18.00m, Nottingham Forest ,Wales,Right-Back
387,Giulian Biancone,23,€7.00m, Nottingham Forest ,France,Right-Back
388,Serge Aurier,30,€6.00m, Nottingham Forest ,Cote d'Ivoire,Right-Back
389,Danilo,21,€25.00m, Nottingham Forest ,Brazil,Defensive Midfield
390,Cheikhou Kouyaté,33,€3.00m, Nottingham Forest ,Senegal,Defensive Midfield
391,Jack Colback,33,€800k, Nottingham Forest ,England,Defensive Midfield
392,Orel Mangala,25,€12.00m, Nottingham Forest ,Belgium,Central Midfield
393,Remo Freuler,30,€10.00m, Nottingham Forest ,Switzerland,Central Midfield
394,Ryan Yates,25,€8.00m, Nottingham Forest ,England,Central Midfield
395,Jonjo Shelvey,31,€7.00m, Nottingham Forest ,England,Central Midfield
396,Harry Arter,33,€600k, Nottingham Forest ,Ireland,Central Midfield
397,Cafú,30,€600k, Nottingham Forest ,Portugal,Central Midfield
398,Morgan Gibbs-White,23,€30.00m, Nottingham Forest ,England,Attacking Midfield
399,Jesse Lingard,30,€12.00m, Nottingham Forest ,England,Attacking Midfield
400,Gustavo Scarpa,29,€12.00m, Nottingham Forest ,Brazil,Attacking Midfield
401,André Ayew,33,€2.20m, Nottingham Forest ,Ghana,Left Winger
402,Alex Mighten,21,€600k, Nottingham Forest ,England,Left Winger
403,Brennan Johnson,21,€30.00m, Nottingham Forest ,Wales,Second Striker
404,Taiwo Awoniyi,25,€20.00m, Nottingham Forest ,Nigeria,Centre-Forward
405,Emmanuel Dennis,25,€10.00m, Nottingham Forest ,Nigeria,Centre-Forward
406,Chris Wood,31,€10.00m, Nottingham Forest ,New Zealand,Centre-Forward
407,Sam Surridge,24,€3.50m, Nottingham Forest ,England,Centre-Forward
408,Lyle Taylor,33,€350k, Nottingham Forest ,Montserrat,Centre-Forward
409,David Raya,27,€25.00m, Brentford FC ,Spain,Goalkeeper
410,Thomas Strakosha,28,€4.00m, Brentford FC ,Albania,Goalkeeper
411,Matthew Cox,19, , Brentford FC ,England,Goalkeeper
412,Kristoffer Ajer,24,€16.00m, Brentford FC ,Norway,Centre-Back
413,Ethan Pinnock,29,€12.00m, Brentford FC ,Jamaica,Centre-Back
414,Pontus Jansson,32,€5.00m, Brentford FC ,Sweden,Centre-Back
415,Ben Mee,33,€1.80m, Brentford FC ,England,Centre-Back
416,Zanka,32,€1.50m, Brentford FC ,Denmark,Centre-Back
417,Rico Henry,25,€22.00m, Brentford FC ,England,Left-Back
418,Aaron Hickey,20,€18.00m, Brentford FC ,Scotland,Left-Back
419,Mads Roerslev,23,€2.20m, Brentford FC ,Denmark,Right-Back
420,Fin Stevens,20,€400k, Brentford FC ,Wales,Right-Back
421,Vitaly Janelt,24,€16.00m, Brentford FC ,Germany,Defensive Midfield
422,Christian Nörgaard,29,€14.00m, Brentford FC ,Denmark,Defensive Midfield
423,Mathias Jensen,27,€14.00m, Brentford FC ,Denmark,Central Midfield
424,Josh Dasilva,24,€9.00m, Brentford FC ,England,Central Midfield
425,Frank Onyeka,25,€9.00m, Brentford FC ,Nigeria,Central Midfield
426,Shandon Baptiste,25,€3.00m, Brentford FC ,Grenada,Central Midfield
427,Saman Ghoddos,29,€2.20m, Brentford FC ,Iran,Attacking Midfield
428,Yoane Wissa,26,€15.00m, Brentford FC ,DR Congo,Left Winger
429,Keane Lewis-Potter,22,€15.00m, Brentford FC ,England,Left Winger
430,Mikkel Damsgaard,22,€15.00m, Brentford FC ,Denmark,Left Winger
431,Bryan Mbeumo,23,€28.00m, Brentford FC ,Cameroon,Right Winger
432,Kevin Schade,21,€20.00m, Brentford FC ,Germany,Right Winger
433,Ivan Toney,27,€50.00m, Brentford FC ,England,Centre-Forward
434,Illan Meslier,23,€22.00m, Leeds United ,France,Goalkeeper
435,Kristoffer Klaesson,22,€2.00m, Leeds United ,Norway,Goalkeeper
436,Joel Robles,32,€1.20m, Leeds United ,Spain,Goalkeeper
437,Robin Koch,26,€18.00m, Leeds United ,Germany,Centre-Back
438,Maximilian Wöber,25,€12.00m, Leeds United ,Austria,Centre-Back
439,Liam Cooper,31,€5.00m, Leeds United ,Scotland,Centre-Back
440,Pascal Struijk,23,€20.00m, Leeds United ,Netherlands,Left-Back
441,Junior Firpo,26,€12.00m, Leeds United ,Dominican Republic,Left-Back
442,Rasmus Kristensen,25,€15.00m, Leeds United ,Denmark,Right-Back
443,Luke Ayling,31,€2.00m, Leeds United ,England,Right-Back
444,Stuart Dallas,31,€2.00m, Leeds United ,Northern Ireland,Right-Back
445,Tyler Adams,24,€20.00m, Leeds United ,United States,Defensive Midfield
446,Marc Roca,26,€15.00m, Leeds United ,Spain,Defensive Midfield
447,Weston McKennie,24,€21.00m, Leeds United ,United States,Central Midfield
448,Adam Forshaw,31,€1.80m, Leeds United ,England,Central Midfield
449,Brenden Aaronson,22,€30.00m, Leeds United ,United States,Attacking Midfield
450,Sam Greenwood,21,€4.00m, Leeds United ,England,Attacking Midfield
451,Jack Harrison,26,€22.00m, Leeds United ,England,Left Winger
452,Luis Sinisterra,23,€22.00m, Leeds United ,Colombia,Left Winger
453,Wilfried Gnonto,19,€18.00m, Leeds United ,Italy,Left Winger
454,Crysencio Summerville,21,€12.00m, Leeds United ,Netherlands,Right Winger
455,Georginio Rutter,20,€22.00m, Leeds United ,France,Centre-Forward
456,Patrick Bamford,29,€10.00m, Leeds United ,England,Centre-Forward
457,Rodrigo,32,€9.00m, Leeds United ,Spain,Centre-Forward
458,Sam Johnstone,30,€4.00m, Crystal Palace ,England,Goalkeeper
459,Vicente Guaita,36,€1.50m, Crystal Palace ,Spain,Goalkeeper
460,Joe Whitworth,19,€250k, Crystal Palace ,England,Goalkeeper
461,Marc Guéhi,22,€35.00m, Crystal Palace ,England,Centre-Back
462,Joachim Andersen,26,€32.00m, Crystal Palace ,Denmark,Centre-Back
463,Chris Richards,23,€10.00m, Crystal Palace ,United States,Centre-Back
464,Nathan Ferguson,22,€2.00m, Crystal Palace ,England,Centre-Back
465,James Tomkins,34,€1.00m, Crystal Palace ,England,Centre-Back
466,Tyrick Mitchell,23,€28.00m, Crystal Palace ,England,Left-Back
467,Nathaniel Clyne,32,€3.00m, Crystal Palace ,England,Right-Back
468,Joel Ward,33,€2.00m, Crystal Palace ,England,Right-Back
469,Cheick Doucouré,23,€30.00m, Crystal Palace ,Mali,Defensive Midfield
470,Jairo Riedewald,26,€4.00m, Crystal Palace ,Netherlands,Defensive Midfield
471,Luka Milivojevic,32,€2.50m, Crystal Palace ,Serbia,Defensive Midfield
472,Albert Sambi Lokonga,23,€15.00m, Crystal Palace ,Belgium,Central Midfield
473,Naouirou Ahamada,21,€10.00m, Crystal Palace ,France,Central Midfield
474,Will Hughes,27,€5.00m, Crystal Palace ,England,Central Midfield
475,James McArthur,35,€700k, Crystal Palace ,Scotland,Central Midfield
476,Jeffrey Schlupp,30,€8.00m, Crystal Palace ,Ghana,Left Midfield
477,Eberechi Eze,24,€30.00m, Crystal Palace ,England,Attacking Midfield
478,Wilfried Zaha,30,€27.00m, Crystal Palace ,Cote d'Ivoire,Left Winger
479,Michael Olise,21,€27.00m, Crystal Palace ,France,Right Winger
480,Odsonne Edouard,25,€17.00m, Crystal Palace ,France,Centre-Forward
481,Jean-Philippe Mateta,25,€9.00m, Crystal Palace ,France,Centre-Forward
482,Jordan Ayew,31,€6.00m, Crystal Palace ,Ghana,Centre-Forward
483,Bernd Leno,31,€10.00m, Fulham FC ,Germany,Goalkeeper
484,Marek Rodak,26,€3.50m, Fulham FC ,Slovakia,Goalkeeper
485,Issa Diop,26,€18.00m, Fulham FC ,France,Centre-Back
486,Tosin Adarabioyo,25,€15.00m, Fulham FC ,England,Centre-Back
487,Shane Duffy,31,€2.50m, Fulham FC ,Ireland,Centre-Back
488,Tim Ream,35,€1.00m, Fulham FC ,United States,Centre-Back
489,Antonee Robinson,25,€12.00m, Fulham FC ,United States,Left-Back
490,Layvin Kurzawa,30,€4.00m, Fulham FC ,France,Left-Back
491,Kenny Tete,27,€12.00m, Fulham FC ,Netherlands,Right-Back
492,Cédric Soares,31,€4.00m, Fulham FC ,Portugal,Right-Back
493,João Palhinha,27,€35.00m, Fulham FC ,Portugal,Defensive Midfield
494,Harrison Reed,28,€15.00m, Fulham FC ,England,Central Midfield
495,Sasa Lukic,26,€13.00m, Fulham FC ,Serbia,Central Midfield
496,Tom Cairney,32,€2.00m, Fulham FC ,Scotland,Central Midfield
497,Tyrese Francois,22,€500k, Fulham FC ,Australia,Central Midfield
498,Andreas Pereira,27,€16.00m, Fulham FC ,Brazil,Attacking Midfield
499,Bobby De Cordova-Reid,30,€7.00m, Fulham FC ,Jamaica,Attacking Midfield
500,Manor Solomon,23,€18.00m, Fulham FC ,Israel,Left Winger
501,Neeskens Kebano,31,€3.00m, Fulham FC ,DR Congo,Left Winger
502,Willian,34,€3.00m, Fulham FC ,Brazil,Left Winger
503,Harry Wilson,26,€13.00m, Fulham FC ,Wales,Right Winger
504,Daniel James,25,€13.00m, Fulham FC ,Wales,Right Winger
505,Aleksandar Mitrović,28,€28.00m, Fulham FC ,Serbia,Centre-Forward
506,Carlos Vinícius,28,€5.00m, Fulham FC ,Brazil,Centre-Forward
507,Neto,33,€2.50m, AFC Bournemouth ,Brazil,Goalkeeper
508,Mark Travers,23,€2.00m, AFC Bournemouth ,Ireland,Goalkeeper
509,Darren Randolph,35,€500k, AFC Bournemouth ,Ireland,Goalkeeper
510,Ilya Zabarnyi,20,€18.00m, AFC Bournemouth ,Ukraine,Centre-Back
511,Marcos Senesi,25,€17.00m, AFC Bournemouth ,Argentina,Centre-Back
512,Lloyd Kelly,24,€15.00m, AFC Bournemouth ,England,Centre-Back
513,Chris Mepham,25,€6.00m, AFC Bournemouth ,Wales,Centre-Back
514,Jack Stephens,29,€5.00m, AFC Bournemouth ,England,Centre-Back
515,Matías Viña,25,€6.00m, AFC Bournemouth ,Uruguay,Left-Back
516,Jordan Zemura,23,€4.00m, AFC Bournemouth ,Zimbabwe,Left-Back
517,Jack Stacey,27,€3.00m, AFC Bournemouth ,England,Right-Back
518,Ryan Fredericks,30,€2.00m, AFC Bournemouth ,England,Right-Back
519,Adam Smith,31,€1.50m, AFC Bournemouth ,England,Right-Back
520,Jefferson Lerma,28,€15.00m, AFC Bournemouth ,Colombia,Defensive Midfield
521,Philip Billing,26,€18.00m, AFC Bournemouth ,Denmark,Central Midfield
522,Marcus Tavernier,24,€15.00m, AFC Bournemouth ,England,Central Midfield
523,Lewis Cook,26,€10.00m, AFC Bournemouth ,England,Central Midfield
524,Joe Rothwell,28,€3.50m, AFC Bournemouth ,England,Central Midfield
525,Hamed Junior Traorè,23,€22.00m, AFC Bournemouth ,Cote d'Ivoire,Attacking Midfield
526,Ryan Christie,28,€9.00m, AFC Bournemouth ,Scotland,Attacking Midfield
527,Jaidon Anthony,23,€5.00m, AFC Bournemouth ,England,Left Winger
528,Junior Stanislas,33,€700k, AFC Bournemouth ,England,Left Winger
529,Dango Ouattara,21,€20.00m, AFC Bournemouth ,Burkina Faso,Right Winger
530,David Brooks,25,€12.00m, AFC Bournemouth ,Wales,Right Winger
531,Dominic Solanke,25,€18.00m, AFC Bournemouth ,England,Centre-Forward
532,Antoine Semenyo,23,€9.00m, AFC Bournemouth ,Ghana,Centre-Forward
533,Kieffer Moore,30,€4.00m, AFC Bournemouth ,Wales,Centre-Forward
534,Thibaut Courtois,30,€60.00m, Real Madrid ,Belgium,Goalkeeper
535,Andriy Lunin,24,€5.00m, Real Madrid ,Ukraine,Goalkeeper
536,Luis López,21,€300k, Real Madrid ,Spain,Goalkeeper
537,Éder Militão,25,€70.00m, Real Madrid ,Brazil,Centre-Back
538,David Alaba,30,€50.00m, Real Madrid ,Austria,Centre-Back
539,Antonio Rüdiger,30,€40.00m, Real Madrid ,Germany,Centre-Back
540,Nacho Fernández,33,€6.00m, Real Madrid ,Spain,Centre-Back
541,Jesús Vallejo,26,€2.00m, Real Madrid ,Spain,Centre-Back
542,Ferland Mendy,27,€35.00m, Real Madrid ,France,Left-Back
543,Daniel Carvajal,31,€15.00m, Real Madrid ,Spain,Right-Back
544,Lucas Vázquez,31,€9.00m, Real Madrid ,Spain,Right-Back
545,Álvaro Odriozola,27,€5.00m, Real Madrid ,Spain,Right-Back
546,Aurélien Tchouaméni,23,€90.00m, Real Madrid ,France,Defensive Midfield
547,Federico Valverde,24,€100.00m, Real Madrid ,Uruguay,Central Midfield
548,Eduardo Camavinga,20,€60.00m, Real Madrid ,France,Central Midfield
549,Toni Kroos,33,€18.00m, Real Madrid ,Germany,Central Midfield
550,Dani Ceballos,26,€12.00m, Real Madrid ,Spain,Central Midfield
551,Luka Modric,37,€10.00m, Real Madrid ,Croatia,Central Midfield
552,Vinicius Junior,22,€120.00m, Real Madrid ,Brazil,Left Winger
553,Eden Hazard,32,€5.00m, Real Madrid ,Belgium,Left Winger
554,Rodrygo,22,€80.00m, Real Madrid ,Brazil,Right Winger
555,Marco Asensio,27,€25.00m, Real Madrid ,Spain,Right Winger
556,Karim Benzema,35,€35.00m, Real Madrid ,France,Centre-Forward
557,Álvaro Rodríguez,18,€6.00m, Real Madrid ,Uruguay,Centre-Forward
558,Mariano Díaz,29,€2.50m, Real Madrid ,Dominican Republic,Centre-Forward
559,Marc-André ter Stegen,30,€40.00m, FC Barcelona ,Germany,Goalkeeper
560,Iñaki Peña,24,€4.00m, FC Barcelona ,Spain,Goalkeeper
561,Arnau Tenas,21,€2.00m, FC Barcelona ,Spain,Goalkeeper
562,Ronald Araújo,24,€70.00m, FC Barcelona ,Uruguay,Centre-Back
563,Jules Koundé,24,€60.00m, FC Barcelona ,France,Centre-Back
564,Andreas Christensen,27,€30.00m, FC Barcelona ,Denmark,Centre-Back
565,Eric García,22,€12.00m, FC Barcelona ,Spain,Centre-Back
566,Alejandro Balde,19,€30.00m, FC Barcelona ,Spain,Left-Back
567,Marcos Alonso,32,€7.00m, FC Barcelona ,Spain,Left-Back
568,Jordi Alba,34,€5.00m, FC Barcelona ,Spain,Left-Back
569,Sergi Roberto,31,€6.00m, FC Barcelona ,Spain,Right-Back
570,Sergio Busquets,34,€5.00m, FC Barcelona ,Spain,Defensive Midfield
571,Pedri,20,€100.00m, FC Barcelona ,Spain,Central Midfield
572,Gavi,18,€90.00m, FC Barcelona ,Spain,Central Midfield
573,Frenkie de Jong,25,€60.00m, FC Barcelona ,Netherlands,Central Midfield
574,Franck Kessié,26,€28.00m, FC Barcelona ,Cote d'Ivoire,Central Midfield
575,Pablo Torre,20,€3.00m, FC Barcelona ,Spain,Attacking Midfield
576,Ansu Fati,20,€35.00m, FC Barcelona ,Spain,Left Winger
577,Ferran Torres,23,€30.00m, FC Barcelona ,Spain,Left Winger
578,Ousmane Dembélé,25,€60.00m, FC Barcelona ,France,Right Winger
579,Raphinha,26,€50.00m, FC Barcelona ,Brazil,Right Winger
580,Robert Lewandowski,34,€40.00m, FC Barcelona ,Poland,Centre-Forward
581,Jan Oblak,30,€40.00m, Atlético de Madrid ,Slovenia,Goalkeeper
582,Ivo Grbic,27,€3.50m, Atlético de Madrid ,Croatia,Goalkeeper
583,José María Giménez,28,€35.00m, Atlético de Madrid ,Uruguay,Centre-Back
584,Mario Hermoso,27,€18.00m, Atlético de Madrid ,Spain,Centre-Back
585,Stefan Savic,32,€7.50m, Atlético de Madrid ,Montenegro,Centre-Back
586,Reinildo Mandava,29,€25.00m, Atlético de Madrid ,Mozambique,Left-Back
587,Sergio Reguilón,26,€15.00m, Atlético de Madrid ,Spain,Left-Back
588,Nahuel Molina,25,€24.00m, Atlético de Madrid ,Argentina,Right-Back
589,Matt Doherty,31,€9.00m, Atlético de Madrid ,Ireland,Right-Back
590,Geoffrey Kondogbia,30,€18.00m, Atlético de Madrid ,Central African Republic,Defensive Midfield
591,Axel Witsel,34,€5.00m, Atlético de Madrid ,Belgium,Defensive Midfield
592,Rodrigo de Paul,28,€40.00m, Atlético de Madrid ,Argentina,Central Midfield
593,Marcos Llorente,28,€35.00m, Atlético de Madrid ,Spain,Central Midfield
594,Koke,31,€16.00m, Atlético de Madrid ,Spain,Central Midfield
595,Saúl Ñíguez,28,€10.00m, Atlético de Madrid ,Spain,Central Midfield
596,Pablo Barrios,19,€5.00m, Atlético de Madrid ,Spain,Central Midfield
597,Thomas Lemar,27,€25.00m, Atlético de Madrid ,France,Attacking Midfield
598,Yannick Carrasco,29,€25.00m, Atlético de Madrid ,Belgium,Left Winger
599,Ángel Correa,28,€35.00m, Atlético de Madrid ,Argentina,Right Winger
600,Antoine Griezmann,32,€25.00m, Atlético de Madrid ,France,Second Striker
601,Álvaro Morata,30,€25.00m, Atlético de Madrid ,Spain,Centre-Forward
602,Memphis Depay,29,€16.00m, Atlético de Madrid ,Netherlands,Centre-Forward
603,Álex Remiro,28,€25.00m, Real Sociedad ,Spain,Goalkeeper
604,Andoni Zubiaurre,26,€300k, Real Sociedad ,Spain,Goalkeeper
605,Robin Le Normand,26,€35.00m, Real Sociedad ,France,Centre-Back
606,Igor Zubeldia,26,€15.00m, Real Sociedad ,Spain,Centre-Back
607,Aritz Elustondo,29,€14.00m, Real Sociedad ,Spain,Centre-Back
608,Jon Pacheco,22,€6.00m, Real Sociedad ,Spain,Centre-Back
609,Aihen Muñoz,25,€6.00m, Real Sociedad ,Spain,Left-Back
610,Diego Rico,30,€3.00m, Real Sociedad ,Spain,Left-Back
611,Andoni Gorosabel,26,€10.00m, Real Sociedad ,Spain,Right-Back
612,Álex Sola,23,€3.00m, Real Sociedad ,Spain,Right-Back
613,Martín Zubimendi,24,€40.00m, Real Sociedad ,Spain,Defensive Midfield
614,Asier Illarramendi,33,€2.00m, Real Sociedad ,Spain,Defensive Midfield
615,Mikel Merino,26,€50.00m, Real Sociedad ,Spain,Central Midfield
616,Ander Guevara,25,€5.00m, Real Sociedad ,Spain,Central Midfield
617,Beñat Turrientes,21,€2.00m, Real Sociedad ,Spain,Central Midfield
618,Brais Méndez,26,€30.00m, Real Sociedad ,Spain,Attacking Midfield
619,Robert Navarro,21,€4.00m, Real Sociedad ,Spain,Attacking Midfield
620,David Silva,37,€4.00m, Real Sociedad ,Spain,Attacking Midfield
621,Mikel Oyarzabal,25,€50.00m, Real Sociedad ,Spain,Left Winger
622,Ander Barrenetxea,21,€6.00m, Real Sociedad ,Spain,Left Winger
623,Martín Merquelanz,27,€1.20m, Real Sociedad ,Spain,Left Winger
624,Takefusa Kubo,21,€15.00m, Real Sociedad ,Japan,Right Winger
625,Umar Sadiq,26,€18.00m, Real Sociedad ,Nigeria,Centre-Forward
626,Momo Cho,19,€15.00m, Real Sociedad ,France,Centre-Forward
627,Alexander Sörloth,27,€12.00m, Real Sociedad ,Norway,Centre-Forward
628,Carlos Fernández,26,€4.00m, Real Sociedad ,Spain,Centre-Forward
629,Filip Jörgensen,20,€1.50m, Villarreal CF ,Denmark,Goalkeeper
630,Pepe Reina,40,€700k, Villarreal CF ,Spain,Goalkeeper
631,Pau Torres,26,€45.00m, Villarreal CF ,Spain,Centre-Back
632,Jorge Cuenca,23,€5.00m, Villarreal CF ,Spain,Centre-Back
633,Aïssa Mandi,31,€4.00m, Villarreal CF ,Algeria,Centre-Back
634,Raúl Albiol,37,€3.00m, Villarreal CF ,Spain,Centre-Back
635,Alfonso Pedraza,27,€15.00m, Villarreal CF ,Spain,Left-Back
636,Johan Mojica,30,€5.00m, Villarreal CF ,Colombia,Left-Back
637,Alberto Moreno,30,€4.00m, Villarreal CF ,Spain,Left-Back
638,Juan Foyth,25,€25.00m, Villarreal CF ,Argentina,Right-Back
639,Kiko Femenía,32,€2.50m, Villarreal CF ,Spain,Right-Back
640,Francis Coquelin,31,€5.00m, Villarreal CF ,France,Defensive Midfield
641,Étienne Capoue,34,€3.00m, Villarreal CF ,France,Defensive Midfield
642,Ramón Terrats,22,€1.50m, Villarreal CF ,Spain,Defensive Midfield
643,Giovani Lo Celso,27,€18.00m, Villarreal CF ,Argentina,Central Midfield
644,Dani Parejo,33,€7.00m, Villarreal CF ,Spain,Central Midfield
645,Manu Trigueros,31,€6.00m, Villarreal CF ,Spain,Central Midfield
