,Player,Nation,Pos,Squad,Comp,Age
1782,Edouard Michut,FRA,2,Paris S-G,Ligue 1,19
1783,Miguel,ESP,3,Alavés,La Liga,22
1784,Valentin Mihaila,ROU,3,Atalanta,Serie A,22
1785,Mikael,BRA,3,Salernitana,Serie A,23
1786,Hilmir Mikaelsson,ISL,3,Venezia,Serie A,18
1787,Georges Mikautadze,GEO,3,Metz,Ligue 1,21
1788,William Mikelbrencis,FRA,1,Metz,Ligue 1,18
1789,Nikola Milenkovi?,SRB,1,Fiorentina,Serie A,24
1790,Arkadiusz Milik,POL,3,Marseille,Ligue 1,28
1791,Sergej Milinkovi?-Savi?,SRB,2,Lazio,Serie A,27
1792,Vanja Milinkovi?-Savi?,SRB,4,Torino,Serie A,25
1793,Éder Militão,BRA,1,Real Madrid,La Liga,24
1794,Luka Milivojevi?,SRB,2,Crystal Palace,Premier League,31
1795,Luis Milla,ESP,2,Granada,La Liga,27
1796,Pere Milla,ESP,3,Elche,La Liga,29
1797,Enzo Millot,FRA,2,Stuttgart,Bundesliga,19
1798,James Milner,ENG,2,Liverpool,Premier League,36
1799,Santi Mina,ESP,3,Celta Vigo,La Liga,26
1800,Yerry Mina,COL,1,Everton,Premier League,27
1801,Takumi Minamino,JPN,3,Liverpool,Premier League,27
1802,Tyrone Mings,ENG,1,Aston Villa,Premier League,29
1803,Óscar Mingueza,ESP,1,Barcelona,La Liga,23
1804,Rafa Mir,ESP,3,Sevilla,La Liga,24
1805,Jorge Miramón,ESP,1,Levante,La Liga,32
1806,Aleksei Miranchuk,RUS,2,Atalanta,Serie A,26
1807,Juan Miranda,ESP,1,Betis,La Liga,22
1808,Fabio Miretti,ITA,2,Juventus,Serie A,18
1809,Tyrick Mitchell,ENG,1,Crystal Palace,Premier League,22
1810,Stefan Mitrovi?,SRB,1,Getafe,La Liga,32
1811,Maximilian Mittelstädt,GER,1,Hertha BSC,Bundesliga,25
1812,Henrikh Mkhitaryan,ARM,2,Roma,Serie A,33
1813,Jakub Moder,POL,2,Brighton,Premier League,23
1814,Anthony Modeste,FRA,3,Köln,Bundesliga,34
1815,Marco Modolo,ITA,1,Venezia,Serie A,33
1816,Luka Modri?,CRO,2,Real Madrid,La Liga,36
1817,Terem Moffi,NGA,3,Lorient,Ligue 1,23
1818,Kevin Möhwald,GER,2,Union Berlin,Bundesliga,28
1819,Dion Moise Sahi,CIV,3,Strasbourg,Ligue 1,20
1820,Johan Mojica,COL,1,Elche,La Liga,29
1821,Clinton Mola,ENG,1,Stuttgart,Bundesliga,21
1822,Jorge Molina,ESP,3,Granada,La Liga,40
1823,Nahuel Molina,ARG,1,Udinese,Serie A,24
1824,Cristian Molinaro,ITA,1,Venezia,Serie A,38
1825,Florent Mollet,FRA,3,Montpellier,Ligue 1,30
1826,Jon Moncayola,ESP,2,Osasuna,La Liga,24
1827,Monchu,ESP,2,Granada,La Liga,22
1828,Thomas Monconduit,FRA,2,Lorient,Ligue 1,31
1829,Gonzalo Montiel,ARG,1,Sevilla,La Liga,25
1830,Lorenzo Montipò,ITA,4,Hellas Verona,Serie A,26
1831,Ángel Montoro,ESP,2,Granada,La Liga,33
1832,Martín Montoya,ESP,1,Betis,La Liga,31
1833,Wesley Moraes,BRA,3,Aston Villa,Premier League,25
1834,Álvaro Morata,ESP,3,Juventus,Serie A,29
1835,Jan Morávek,CZE,2,Augsburg,Bundesliga,32
1836,Jon Morcillo,ESP,2,Athletic Club,La Liga,23
1837,Jérémy Morel,MAD,1,Lorient,Ligue 1,38
1838,Alberto Moreno,ESP,2,Villarreal,La Liga,29
1839,Álex Moreno,ESP,1,Betis,La Liga,28
1840,Gerard Moreno,ESP,3,Villarreal,La Liga,30
1841,Tete Morente,ESP,2,Elche,La Liga,25
1842,Ilaix Moriba,GUI,2,RB Leipzig,Bundesliga,19
1843,Ilaix Moriba,GUI,2,Valencia,La Liga,19
1844,Manu Morlanes,ESP,2,Espanyol,La Liga,23
1845,Raúl Moro,ESP,3,Lazio,Serie A,19
1846,Loren Morón,ESP,3,Espanyol,La Liga,28
1847,Loren Morón,ESP,3,Betis,La Liga,28
1848,Tyler Morton,ENG,2,Liverpool,Premier League,19
1849,Cristhian Mosquera,COL,1,Valencia,La Liga,17
1850,Lebo Mothiba,RSA,3,Troyes,Ligue 1,26
1851,Lebo Mothiba,RSA,3,Strasbourg,Ligue 1,26
1852,Andrei Motoc,ROU,1,Salernitana,Serie A,20
1853,Baptiste Mouazan,FRA,2,Lorient,Ligue 1,20
1854,Aimen Moueffek,FRA,2,Saint-Étienne,Ligue 1,21
1855,Youssoufa Moukoko,GER,3,Dortmund,Bundesliga,17
1856,Harold Moukoudi,CMR,1,Saint-Étienne,Ligue 1,24
1857,Jessy Moulin,FRA,4,Troyes,Ligue 1,36
1858,Steve Mounié,BEN,3,Brest,Ligue 1,27
1859,Mason Mount,ENG,2,Chelsea,Premier League,23
1860,Lucas Moura,BRA,3,Tottenham,Premier League,29
1861,Lys Mousset,FRA,3,Salernitana,Serie A,26
1862,João Moutinho,POR,2,Wolves,Premier League,35
1863,Samuel Moutoussamy,COD,2,Nantes,Ligue 1,25
1864,Toni Moya,ESP,2,Alavés,La Liga,24
1865,Samuel Mráz,SVK,3,Spezia,Serie A,25
1866,Nordi Mukiele,FRA,1,RB Leipzig,Bundesliga,24
1867,Mert Müldür,TUR,1,Sassuolo,Serie A,23
1868,Florian Müller,GER,4,Stuttgart,Bundesliga,24
1869,Thomas Müller,GER,2,Bayern Munich,Bundesliga,32
1870,Bali Mumba,ENG,1,Norwich City,Premier League,20
1871,Marshall Munetsi,ZIM,2,Reims,Ligue 1,25
1872,Iker Muniain,ESP,2,Athletic Club,La Liga,29
1873,Aihen Muñoz,ESP,1,Real Sociedad,La Liga,24
1874,Luis Muriel,COL,3,Atalanta,Serie A,31
1875,Jeison Murillo,COL,1,Celta Vigo,La Liga,30
1876,Vedat Muriqi,KVX,3,Lazio,Serie A,28
1877,Vedat Muriqi,KVX,3,Mallorca,La Liga,28
1878,Jacob Murphy,ENG,3,Newcastle Utd,Premier League,27
1879,Nicola Murru,ITA,1,Sampdoria,Serie A,27
1880,Yunus Musah,USA,2,Valencia,La Liga,19
1881,Torben Müsel,GER,2,M'Gladbach,Bundesliga,22
1882,Jamal Musiala,GER,2,Bayern Munich,Bundesliga,19
1883,Juan Musso,ARG,4,Atalanta,Serie A,28
1884,Shkodran Mustafi,GER,1,Levante,La Liga,30
1885,Junior Mwanga,FRA,1,Bordeaux,Ligue 1,19
1886,Enock Mwepu,ZAM,2,Brighton,Premier League,24
1887,Vitaliy Mykolenko,UKR,1,Everton,Premier League,23
1888,Joakim Mæhle,DEN,1,Atalanta,Serie A,25
1889,Obite N'Dicka,FRA,1,Eint Frankfurt,Bundesliga,22
1890,Kévin N'Doram,FRA,2,Metz,Ligue 1,26
1891,Eric N'Jo,FRA,1,Troyes,Ligue 1,17
1892,Vital N'Simba,COD,1,Clermont Foot,Ligue 1,28
1893,Nacho,ESP,1,Real Madrid,La Liga,32
1894,Mickael Nade,FRA,1,Saint-Étienne,Ligue 1,23
1895,Marvelous Nakamba,ZIM,2,Aston Villa,Premier League,28
1896,Nahitan Nández,URU,2,Cagliari,Serie A,26
1897,Nani,POR,3,Venezia,Serie A,35
1898,Paul Nardi,FRA,4,Lorient,Ligue 1,28
1899,Nikolas Nartey,DEN,2,Stuttgart,Bundesliga,22
1900,Matija Nastasi?,SRB,1,Fiorentina,Serie A,29
1901,Roberto Navarro,ESP,2,Real Sociedad,La Liga,20
1902,Ximo Navarro,ESP,1,Alavés,La Liga,32
1903,Jesús Navas,ESP,1,Sevilla,La Liga,36
1904,Keylor Navas,CRC,4,Paris S-G,Ligue 1,35
1905,Papa Ndiaga Yade,SEN,1,Metz,Ligue 1,22
1906,Loum Ndiaye,SEN,2,Alavés,La Liga,25
1907,Wilfred Ndidi,NGA,2,Leicester City,Premier League,25
1908,Tanguy Ndombele,FRA,2,Tottenham,Premier League,25
1909,Tanguy Ndombele,FRA,2,Lyon,Ligue 1,25
1910,Dan Ndoye,SUI,3,Nice,Ligue 1,21
1911,Paul Nebel,GER,2,Mainz 05,Bundesliga,19
1912,Álvaro Negredo,ESP,3,Cádiz,La Liga,36
1913,Reiss Nelson,ENG,3,Arsenal,Premier League,22
1914,David Nemeth,AUT,1,Mainz 05,Bundesliga,21
1915,Ilija Nestorovski,MKD,3,Udinese,Serie A,32
1916,Neto,BRA,4,Barcelona,La Liga,32
1917,Pedro Neto,POR,3,Wolves,Premier League,22
1918,Luca Netz,GER,1,M'Gladbach,Bundesliga,19
1919,Manuel Neuer,GER,4,Bayern Munich,Bundesliga,36
1920,Florian Neuhaus,GER,2,M'Gladbach,Bundesliga,25
1921,Carlos Neva,ESP,1,Granada,La Liga,25
1922,Rúben Neves,POR,2,Wolves,Premier League,25
1923,Neymar,BRA,3,Paris S-G,Ligue 1,30
1924,Yvan Neyou,CMR,2,Saint-Étienne,Ligue 1,25
1925,Jeremy Ngakia,ENG,1,Watford,Premier League,21
1926,Jessic Ngankam,GER,3,Greuther Fürth,Bundesliga,21
1927,Opa Nguette,SEN,3,Metz,Ligue 1,27
1928,Aurélien Nguiamba,FRA,2,Spezia,Serie A,23
1929,Sikou Niakaté,FRA,1,Metz,Ligue 1,22
1930,Moussa Niakhate,FRA,1,Mainz 05,Bundesliga,26
1931,Ibrahima Niane,SEN,3,Metz,Ligue 1,23
1932,M'Baye Niang,SEN,3,Bordeaux,Ligue 1,27
1933,Cheikh Niasse,SEN,2,Lille,Ligue 1,22
1934,Florian Niederlechner,GER,3,Augsburg,Bundesliga,31
1935,Håvard Nielsen,NOR,2,Greuther Fürth,Bundesliga,28
1936,Saúl Ñíguez,ESP,2,Chelsea,Premier League,27
1937,Saúl Ñíguez,ESP,1,Atlético Madrid,La Liga,27
1938,Dimitris Nikolaou,GRE,1,Spezia,Serie A,23
1939,Joakim Nilsson,SWE,1,Arminia,Bundesliga,28
1940,Casimir Ninga,CHA,3,Angers,Ligue 1,29
1941,Fernando Niño,ESP,3,Mallorca,La Liga,21
1942,Eddie Nketiah,ENG,3,Arsenal,Premier League,22
1943,Nicolas Nkoulou,CMR,1,Watford,Premier League,32
1944,Christopher Nkunku,FRA,3,RB Leipzig,Bundesliga,24
1945,Lukas Nmecha,GER,3,Wolfsburg,Bundesliga,23
1946,Mark Noble,ENG,2,West Ham,Premier League,35
1947,Peru Nolaskoain,ESP,1,Athletic Club,La Liga,23
1948,Nolito,ESP,2,Celta Vigo,La Liga,35
1949,Arnaud Nordin,FRA,3,Saint-Étienne,Ligue 1,23
1950,Håvard Nordtveit,NOR,1,Hoffenheim,Bundesliga,31
1951,Mathias Normann,NOR,2,Norwich City,Premier League,26
1952,Connor Noß,IRL,2,M'Gladbach,Bundesliga,21
1953,Hugo Novoa,ESP,2,RB Leipzig,Bundesliga,19
1954,Soma Novothny,HUN,3,Bochum,Bundesliga,27
1955,Jean-Pierre Nsame,CMR,3,Venezia,Serie A,29
1956,Randy Ntekja,FRA,3,Rayo Vallecano,La Liga,24
1957,Alexander Nübel,GER,4,Monaco,Ligue 1,25
1958,Kasim Nuhu,GHA,1,Hoffenheim,Bundesliga,26
1959,Unai Núñez,ESP,1,Athletic Club,La Liga,25
1960,Hans Nunoo Sarpei,GHA,1,Greuther Fürth,Bundesliga,23
1961,Bram Nuytinck,NED,1,Udinese,Serie A,32
1962,Simeon Nwankwo,NGA,3,Salernitana,Serie A,30
1963,Gerzino Nyamsi,FRA,1,Strasbourg,Ligue 1,25
1964,Allan Nyom,CMR,1,Getafe,La Liga,34
1965,M'Bala Nzola,ANG,3,Spezia,Serie A,25
1966,Christian Nørgaard,DEN,2,Brentford,Premier League,28
1967,Adam Obert,SVK,1,Cagliari,Serie A,19
1968,Joel Obi,NGA,2,Salernitana,Serie A,31
1969,Jan Oblak,SVN,4,Atlético Madrid,La Liga,29
1970,Lucas Ocampos,ARG,3,Sevilla,La Liga,27
1971,Bastian Oczipka,GER,1,Union Berlin,Bundesliga,33
1972,Brain Oddei,ITA,3,Sassuolo,Serie A,19
1973,Álvaro Odriozola,ESP,1,Fiorentina,Serie A,26
1974,Angelo Ogbonna,ITA,1,West Ham,Premier League,34
1975,Florent Ogier,FRA,1,Clermont Foot,Ligue 1,33
1976,Stefano Okaka,ITA,3,Udinese,Serie A,32
1977,David Okereke,NGA,3,Venezia,Serie A,24
1978,Masaya Okugawa,JPN,2,Arminia,Bundesliga,26
1979,Lucas Olaza,URU,1,Elche,La Liga,27
1980,Oier Olazábal,ESP,4,Espanyol,La Liga,32
1981,Mathias Olesen,LUX,2,Köln,Bundesliga,21
1982,Michael Olise,FRA,3,Crystal Palace,Premier League,20
1983,Christian Oliva,URU,2,Cagliari,Serie A,25
1984,Brian Oliván,ESP,1,Mallorca,La Liga,28
1985,Sérgio Oliveira,POR,2,Roma,Serie A,29
1986,Mathías Olivera,URU,1,Getafe,La Liga,24
1987,Dani Olmo,ESP,2,RB Leipzig,Bundesliga,24
1988,Robin Olsen,SWE,4,Aston Villa,Premier League,32
1989,Warmed Omari,FRA,1,Rennes,Ligue 1,22
1990,Jonas Omlin,SUI,4,Montpellier,Ligue 1,28
1991,Andrew Omobamidele,IRL,1,Norwich City,Premier League,19
1992,Amadou Onana,BEL,2,Lille,Ligue 1,20
1993,Jean Onana,CMR,2,Bordeaux,Ligue 1,22
1994,Karim Onisiwo,AUT,3,Mainz 05,Bundesliga,30
1995,Javier Ontiveros,ESP,2,Osasuna,La Liga,24
1996,Tyler Onyango,ENG,2,Everton,Premier League,19
1997,Frank Onyeka,NGA,2,Brentford,Premier League,24
1998,Willi Orban,HUN,1,RB Leipzig,Bundesliga,29
1999,Divock Origi,BEL,3,Liverpool,Premier League,27
2000,Riccardo Orsolini,ITA,3,Bologna,Serie A,25
2001,Stefan Ortega,GER,4,Arminia,Bundesliga,29
2002,Pedro Ortiz,ESP,2,Sevilla,La Liga,21
2003,Victor Osimhen,NGA,3,Napoli,Serie A,23
2004,Milutin Osmaji?,MNE,3,Cádiz,La Liga,22
2005,David Ospina,COL,4,Napoli,Serie A,33
2006,Patrick Osterhage,GER,2,Bochum,Bundesliga,22
2007,Tomá Ostrák,CZE,3,Köln,Bundesliga,22
2008,Otávio,BRA,2,Bordeaux,Ligue 1,28
2009,Paulo Otávio,BRA,1,Wolfsburg,Bundesliga,27
2010,Dango Ouattara,BFA,2,Lorient,Ligue 1,20
2011,Remi Oudin,FRA,2,Bordeaux,Ligue 1,25
2012,Alexandre Oukidja,ALG,4,Metz,Ligue 1,33
2013,Azzedine Ounahi,MAR,2,Angers,Ligue 1,22
2014,Adam Ounas,ALG,2,Napoli,Serie A,25
2015,Jesús Owono,EQG,4,Alavés,La Liga,21
2016,Reece Oxford,ENG,1,Augsburg,Bundesliga,23
2017,Alex Oxlade-Chamberlain,ENG,2,Liverpool,Premier League,28
2018,Mikel Oyarzabal,ESP,3,Real Sociedad,La Liga,25
2019,Ambroise Oyongo,CMR,1,Montpellier,Ligue 1,30
2020,Salih Özcan,TUR,2,Köln,Bundesliga,24
2021,Levin Öztunalý,GER,2,Union Berlin,Bundesliga,26
2022,Fernando Pacheco,ESP,4,Alavés,La Liga,30
2023,Jon Pacheco,ESP,1,Real Sociedad,La Liga,21
2024,Gonçalo Paciência,POR,3,Eint Frankfurt,Bundesliga,27
2025,Daniele Padelli,ITA,4,Udinese,Serie A,36
2026,Gavi Paez,ESP,2,Barcelona,La Liga,17
2027,Simone Pafundi,ITA,3,Udinese,Serie A,16
2028,Vincent Pajot,FRA,2,Metz,Ligue 1,31
2029,Exequiel Palacios,ARG,2,Leverkusen,Bundesliga,23
2030,Helibelton Palacios,COL,1,Elche,La Liga,28
2031,Isaac Palazón Camacho,ESP,3,Rayo Vallecano,La Liga,27
2032,Nicolas Pallois,FRA,1,Nantes,Ligue 1,34
2033,Cole Palmer,ENG,3,Manchester City,Premier League,20
2034,Erik Palmer-Brown,USA,1,Troyes,Ligue 1,25
2035,Emerson Palmieri,ITA,1,Lyon,Ligue 1,27
2036,Emerson Palmieri,ITA,1,Chelsea,Premier League,27
2037,Martin Palumbo,NOR,2,Juventus,Serie A,20
2038,Goran Pandev,MKD,3,Genoa,Serie A,38
2039,Ivor Pandur,CRO,4,Hellas Verona,Serie A,22
2040,Milo Pantovi?,SRB,2,Bochum,Bundesliga,25
2041,Antonios Papadopoulos,GER,1,Dortmund,Bundesliga,22
2042,Matondo-Merveille Papela,GER,2,Mainz 05,Bundesliga,21
2043,Lucas Paquetá,BRA,2,Lyon,Ligue 1,24
2044,Rubén Pardo,ESP,2,Bordeaux,Ligue 1,29
2045,Kevin Paredes,USA,3,Wolfsburg,Bundesliga,19
2046,Leandro Paredes,ARG,2,Paris S-G,Ligue 1,27
2047,Daniel Parejo,ESP,2,Villarreal,La Liga,33
2048,Fabiano Parisi,ITA,1,Empoli,Serie A,21
2049,Raúl Parra,ESP,1,Cádiz,La Liga,22
2050,Thomas Partey,GHA,2,Arsenal,Premier League,28
2051,Mario Paali?,CRO,2,Atalanta,Serie A,27
2052,Felix Passlack,GER,1,Dortmund,Bundesliga,24
2053,Javier Pastore,ARG,2,Elche,La Liga,32
2054,Patric,ESP,1,Lazio,Serie A,29
2055,Rui Patrício,POR,4,Roma,Serie A,34
2056,Paulinho,BRA,3,Leverkusen,Bundesliga,21
2057,Gabriel Paulista,BRA,1,Valencia,La Liga,31
2058,Benjamin Pavard,FRA,1,Bayern Munich,Bundesliga,26
2059,Strahinja Pavlovi?,SRB,1,Monaco,Ligue 1,21
2060,Leonardo Pavoletti,ITA,3,Cagliari,Serie A,33
2061,Dimitri Payet,FRA,3,Marseille,Ligue 1,35
2062,Mads Pedersen,DEN,2,Augsburg,Bundesliga,25
2063,Alfonso Pedraza,ESP,1,Villarreal,La Liga,26
2064,Pedri,ESP,2,Barcelona,La Liga,19
2065,Pedro,ESP,3,Lazio,Serie A,34
2066,João Pedro,ITA,3,Cagliari,Serie A,30
2067,João Pedro,BRA,3,Watford,Premier League,20
2068,Pedrosa,ESP,1,Espanyol,La Liga,24
2069,Gianluca Pegolo,ITA,4,Sassuolo,Serie A,41
2070,Peter Pekarík,SVK,1,Hertha BSC,Bundesliga,35
2071,Pietro Pellegri,ITA,3,Torino,Serie A,21
2072,Pietro Pellegri,ITA,3,Milan,Serie A,21
2073,Lorenzo Pellegrini,ITA,2,Roma,Serie A,25
2074,Luca Pellegrini,ITA,1,Juventus,Serie A,23
2075,Facundo Pellistri,URU,2,Alavés,La Liga,20
2076,Federico Peluso,ITA,1,Sassuolo,Serie A,38
2077,Timothee Pembele,FRA,1,Bordeaux,Ligue 1,19
2078,Rubén Peña,ESP,2,Villarreal,La Liga,30
2079,Philipp Pentke,GER,4,Hoffenheim,Bundesliga,37
2080,Nicolas Pépé,CIV,3,Arsenal,Premier League,27
2081,Ricardo Pepi,USA,3,Augsburg,Bundesliga,19
2082,Alberto Perea,ESP,2,Cádiz,La Liga,31
2083,Victor Perea,ESP,1,Espanyol,La Liga,22
2084,Mathias Pereira Lage,POR,1,Angers,Ligue 1,25
2085,Brayann Pereira,FRA,1,Lens,Ligue 1,19
2086,Danilo Pereira,POR,2,Paris S-G,Ligue 1,30
2087,Ricardo Pereira,POR,1,Leicester City,Premier League,28
2088,Gastón Pereiro,URU,3,Cagliari,Serie A,26
2089,Luan Peres Petroni,BRA,1,Marseille,Ligue 1,27
2090,Dor Peretz,ISR,2,Venezia,Serie A,27
2091,Roberto Pereyra,ARG,2,Udinese,Serie A,31
2092,Ayoze Pérez,ESP,2,Leicester City,Premier League,28
2093,Carles Pérez,ESP,2,Roma,Serie A,24
2094,Iñigo Pérez,ESP,2,Osasuna,La Liga,34
2095,Juan Pérez,ESP,4,Osasuna,La Liga,25
2096,Kike Pérez,ESP,3,Elche,La Liga,25
2097,Lucas Pérez,ESP,3,Elche,La Liga,33
2098,Lucas Pérez,ESP,3,Cádiz,La Liga,33
2099,Nehuén Pérez,ARG,1,Udinese,Serie A,21
2100,Mattia Perin,ITA,4,Juventus,Serie A,29
2101,Ivan Perii?,CRO,1,Inter,Serie A,33
2102,Sonny Perkins,ENG,3,West Ham,Premier League,18
2103,Diego Perotti,ARG,3,Salernitana,Serie A,33
2104,Romain Perraud,FRA,1,Southampton,Premier League,24
2105,Lucas Perrin,FRA,1,Strasbourg,Ligue 1,23
2106,Mario Perrone,ITA,1,Salernitana,Serie A,19
2107,Pavao Pervan,AUT,4,Wolfsburg,Bundesliga,34
2108,Matteo Pessina,ITA,2,Atalanta,Serie A,25
2109,Andrea Petagna,ITA,3,Napoli,Serie A,26
2110,Nils Petersen,GER,3,Freiburg,Bundesliga,33
2111,Danijel Petkovi?,MNE,4,Angers,Ligue 1,29
2112,Léo Pétrot,FRA,1,Lorient,Ligue 1,25
2113,Njego Petrovi?,SRB,2,Granada,La Liga,22
2114,Jens Petter Hauge,NOR,3,Eint Frankfurt,Bundesliga,22
2115,Alex Petxa,ESP,1,Athletic Club,La Liga,25
2116,Germán Pezzella,ARG,1,Betis,La Liga,30
2117,Giuseppe Pezzella,ITA,1,Atalanta,Serie A,24
2118,Immanuel Pherai,NED,2,Dortmund,Bundesliga,21
2119,Maximilian Philipp,GER,2,Wolfsburg,Bundesliga,28
2120,Romain Philippoteaux,FRA,2,Brest,Ligue 1,34
2121,Kalvin Phillips,ENG,2,Leeds United,Premier League,26
2122,Jaden Philogene Bidace,ENG,3,Aston Villa,Premier League,20
2123,Jérôme Phojo,FRA,1,Clermont Foot,Ligue 1,29
2124,Krzysztof Pi?tek,POL,3,Fiorentina,Serie A,26
2125,Krzysztof Pi?tek,POL,3,Hertha BSC,Bundesliga,26
2126,Pablo Piatti,ARG,2,Elche,La Liga,33
2127,Cristiano Piccini,ITA,1,Valencia,La Liga,29
2128,Roberto Piccoli,ITA,3,Genoa,Serie A,21
2129,Roberto Piccoli,ITA,3,Atalanta,Serie A,21
2130,Jordan Pickford,ENG,4,Everton,Premier League,28
2131,Jérémy Pied,FRA,1,Lille,Ligue 1,33
2132,Amos Pieper,GER,1,Arminia,Bundesliga,24
2133,Ronaël Pierre-Gabriel,FRA,1,Brest,Ligue 1,23
2134,Erik Pieters,NED,1,Burnley,Premier League,33
2135,Tomás Pina Isla,ESP,2,Alavés,La Liga,34
2136,Andrea Pinamonti,ITA,3,Empoli,Serie A,23
2137,Orbelín Pineda,MEX,2,Celta Vigo,La Liga,26
2138,Ethan Pinnock,JAM,1,Brentford,Premier League,29
2139,Yeremi Pino,ESP,2,Villarreal,La Liga,19
2140,Carlo Pinsoglio,ITA,4,Juventus,Serie A,32
2141,Riccardo Pinzi,ITA,2,Udinese,Serie A,18
2142,Gerard Piqué,ESP,1,Barcelona,La Liga,35
2143,Marko Pjaca,CRO,2,Torino,Serie A,27
2144,Marvin Plattenhardt,GER,1,Hertha BSC,Bundesliga,30
2145,Alassane Pléa,FRA,3,M'Gladbach,Bundesliga,29
2146,Tommaso Pobega,ITA,2,Torino,Serie A,22
2147,Daniel Podence,POR,3,Wolves,Premier League,26
2148,Suf Podgoreanu,ISR,3,Spezia,Serie A,20
2149,Paul Pogba,FRA,2,Manchester Utd,Premier League,29
2150,Joel Pohjanpalo,FIN,3,Leverkusen,Bundesliga,27
2151,Matteo Politano,ITA,3,Napoli,Serie A,28
2152,Julian Pollersbeck,GER,4,Lyon,Ligue 1,27
2153,Sebastian Polter,GER,3,Bochum,Bundesliga,31
2154,Ezequiel Ponce,ARG,3,Elche,La Liga,25
2155,Marin Pongra?i?,CRO,1,Dortmund,Bundesliga,24
2156,Pere Pons,ESP,2,Alavés,La Liga,29
2157,Nick Pope,ENG,4,Burnley,Premier League,30
2158,Manolo Portanova,ITA,3,Genoa,Serie A,21
2159,Portu,ESP,3,Real Sociedad,La Liga,30
2160,Stefan Posch,AUT,1,Hoffenheim,Bundesliga,25
2161,Sergio Postigo,ESP,1,Levante,La Liga,33
2162,Yussuf Poulsen,DEN,3,RB Leipzig,Bundesliga,27
2163,Gaëtan Poussin,FRA,4,Bordeaux,Ligue 1,23
2164,Darío Poveda,ESP,3,Getafe,La Liga,25
2165,José Pozo,ESP,2,Rayo Vallecano,La Liga,26
2166,Dennis Praet,BEL,3,Torino,Serie A,28
2167,Mateusz Praszelik,POL,3,Hellas Verona,Serie A,21
2168,Abdón Prats,ESP,3,Mallorca,La Liga,29
2169,Sanjin Prci?,BIH,2,Strasbourg,Ligue 1,28
2170,Nicolas de Préville,FRA,3,Metz,Ligue 1,31
2171,Isaac Price,NIR,2,Everton,Premier League,18
2172,Manuel Prietl,AUT,2,Arminia,Bundesliga,30
2173,Alejandro Primo,ESP,4,Levante,La Liga,17
2174,Grischa Prömel,GER,2,Union Berlin,Bundesliga,27
2175,Nick Proschwitz,GER,3,Hoffenheim,Bundesliga,35
2176,Ivan Provedel,ITA,4,Spezia,Serie A,28
2177,Javi Puado,ESP,3,Espanyol,La Liga,24
2178,Pubill,ESP,1,Levante,La Liga,18
2179,Antonio Puertas,ESP,2,Granada,La Liga,30
2180,Riqui Puig,ESP,2,Barcelona,La Liga,22
2181,Teemu Pukki,FIN,3,Norwich City,Premier League,32
2182,Erick Pulgar,CHI,2,Fiorentina,Serie A,28
2183,Christian Pulisic,USA,2,Chelsea,Premier League,23
2184,Afimico Pululu,FRA,3,Greuther Fürth,Bundesliga,23
2185,Ignacio Pussetto,ARG,3,Udinese,Serie A,26
2186,Niklas Pyyhtiä,FIN,2,Bologna,Serie A,18
2187,Przemys?aw P?acheta,POL,3,Norwich City,Premier League,24
2188,Yacine Qasmi,MAR,2,Rayo Vallecano,La Liga,31
2189,Fabio Quagliarella,ITA,3,Sampdoria,Serie A,39
2190,Quini,ESP,1,Granada,La Liga,32
2191,Dani Raba,ESP,2,Granada,La Liga,26
2192,Dani Raba,ESP,2,Villarreal,La Liga,26
2193,Adrien Rabiot,FRA,2,Juventus,Serie A,27
2194,Uro Ra?i?,SRB,2,Valencia,La Liga,24
2195,Nemanja Radoja,SRB,2,Levante,La Liga,29
2196,Nemanja Radonji?,SRB,2,Marseille,Ligue 1,26
2197,Ivan Radovanovi?,SRB,1,Salernitana,Serie A,33
2198,Ionu? Radu,ROU,4,Inter,Serie A,25
2199,?tefan Radu,ROU,1,Lazio,Serie A,35
2200,Boris Radunovi?,SRB,4,Cagliari,Serie A,26
2201,Sidney Raebiger,GER,2,RB Leipzig,Bundesliga,17
2202,Rafinha,BRA,2,Real Sociedad,La Liga,29
2203,Rafinha,BRA,3,Paris S-G,Ligue 1,29
2204,Antonio Raillo,ESP,1,Mallorca,La Liga,30
2205,Antonio Raimondo,ITA,3,Bologna,Serie A,18
2206,Predrag Rajkovi?,SRB,4,Reims,Ligue 1,26
2207,Jesuran Rak Sakyi,ENG,3,Crystal Palace,Premier League,19
2208,Ivan Rakiti?,CRO,2,Sevilla,La Liga,34
2209,Diant Ramaj,GER,4,Eint Frankfurt,Bundesliga,20
2210,Jonás Ramalho,ESP,1,Osasuna,La Liga,28
2211,Adil Rami,FRA,1,Troyes,Ligue 1,36
2212,Sandro Ramírez,ESP,3,Getafe,La Liga,26
2213,Guilherme Ramos,POR,1,Arminia,Bundesliga,24
2214,Sergio Ramos,ESP,1,Paris S-G,Ligue 1,36
2215,Aaron Ramsdale,ENG,4,Arsenal,Premier League,24
2216,Aaron Ramsey,WAL,2,Juventus,Serie A,31
2217,Jacob Ramsey,ENG,2,Aston Villa,Premier League,21
2218,Luca Ranieri,ITA,1,Salernitana,Serie A,23
2219,Andrea Ranocchia,ITA,1,Inter,Serie A,34
2220,Tobias Raschl,GER,2,Greuther Fürth,Bundesliga,22
2221,Elba Rashani,KVX,3,Clermont Foot,Ligue 1,29
